Fold,Ensemble Technique,balanced_accuracy,fit_time,predict_time,validation_loss,ensemble_size,dataset_name,n_instances,n_classes,n_features,TaskID,Setting
0,TopN.EnsembleSelection|use_best,0.5609436335147617,1.8037433624267576,0.0159363746643066,0.5099324539775376,4.0,yeast,1484.0,10.0,9.0,2073,TopN
0,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-like-raw,0.5586180521194128,3.141641139984131,0.0159285068511962,0.5064521226268329,10.0,yeast,1484.0,10.0,9.0,2073,TopN
0,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-trim-round,0.5586180521194128,3.157122850418091,0.0161623954772949,0.5064521226268329,10.0,yeast,1484.0,10.0,9.0,2073,TopN
0,TopN.SingleBest,0.5609436335147617,0.1185736656188964,0.0167360305786132,0.512590084773077,,yeast,1484.0,10.0,9.0,2073,TopN
0,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:no,0.5586180521194128,3.11952543258667,0.0159366130828857,0.5046452169919501,21.0,yeast,1484.0,10.0,9.0,2073,TopN
0,TopN.LogisticRegressionStacking,0.550042470724064,0.9542298316955566,0.0172557830810546,,,yeast,1484.0,10.0,9.0,2073,TopN
0,TopN.CMA-ES|batch_size:dynamic|normalize_weights:no,0.5607457116938809,3.128983736038208,0.016371726989746,0.4971591224993307,21.0,yeast,1484.0,10.0,9.0,2073,TopN
1,TopN.EnsembleSelection|use_best,0.4077847187860796,1.8051085472106927,0.0159783363342285,0.4947725786136647,10.0,yeast,1484.0,10.0,9.0,2073,TopN
1,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-like-raw,0.4617534636318653,3.1378612518310547,0.0160400867462158,0.4989726690179558,21.0,yeast,1484.0,10.0,9.0,2073,TopN
1,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-trim-round,0.4617534636318653,3.1049551963806152,0.0160152912139892,0.4989726690179558,21.0,yeast,1484.0,10.0,9.0,2073,TopN
1,TopN.SingleBest,0.4321023008411678,0.119281530380249,0.0167300701141357,0.5094307255480444,,yeast,1484.0,10.0,9.0,2073,TopN
