Fold,Ensemble Technique,roc_auc,fit_time,predict_time,validation_loss,ensemble_size,dataset_name,n_instances,n_classes,n_features,TaskID,Setting
0,TopN.EnsembleSelection|use_best,0.8502854801422242,2.7237637042999268,0.0157783031463623,0.1512028910967486,9.0,yeast,1484.0,10.0,9.0,2073,TopN
0,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-like-raw,0.8524277733930561,4.304257392883301,0.0158076286315917,0.1513174906613208,9.0,yeast,1484.0,10.0,9.0,2073,TopN
0,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-trim-round,0.8520565821511983,4.330980062484741,0.0157711505889892,0.1512304076243904,10.0,yeast,1484.0,10.0,9.0,2073,TopN
0,TopN.SingleBest,0.8459066986787231,0.2379252910614013,0.0154547691345214,0.1620538064526103,,yeast,1484.0,10.0,9.0,2073,TopN
0,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:no,0.8530944296132411,4.236344575881958,0.0157554149627685,0.1514230965022667,21.0,yeast,1484.0,10.0,9.0,2073,TopN
0,TopN.LogisticRegressionStacking,0.8839402291255581,1.0142810344696045,0.0169966220855712,,,yeast,1484.0,10.0,9.0,2073,TopN
0,TopN.CMA-ES|batch_size:dynamic|normalize_weights:no,0.9158413312287286,4.3161351680755615,0.0160083770751953,0.0978074797642947,21.0,yeast,1484.0,10.0,9.0,2073,TopN
1,TopN.EnsembleSelection|use_best,0.8071446313800207,3.0608763694763184,0.0180437564849853,0.139315948813182,8.0,yeast,1484.0,10.0,9.0,2073,TopN
1,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-like-raw,0.8047128679823189,5.013766765594482,0.0180268287658691,0.1394179319730302,4.0,yeast,1484.0,10.0,9.0,2073,TopN
1,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-trim-round,0.8061833178135158,5.18990159034729,0.0179560184478759,0.1393427605379971,9.0,yeast,1484.0,10.0,9.0,2073,TopN
1,TopN.SingleBest,0.7931511723201822,0.2640409469604492,0.0177068710327148,0.1501142863150516,,yeast,1484.0,10.0,9.0,2073,TopN
1,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:no,0.8066594649431067,5.080654144287109,0.0180268287658691,0.1392517836765053,24.0,yeast,1484.0,10.0,9.0,2073,TopN
1,TopN.LogisticRegressionStacking,0.8365071279806126,0.971177577972412,0.0191657543182373,,,yeast,1484.0,10.0,9.0,2073,TopN
1,TopN.CMA-ES|batch_size:dynamic|normalize_weights:no,0.8563441140603214,5.023195028305054,0.0181474685668945,0.0980376983239039,24.0,yeast,1484.0,10.0,9.0,2073,TopN
2,TopN.EnsembleSelection|use_best,0.8605987965206591,2.8951754570007324,0.0160236358642578,0.1515530123268161,10.0,yeast,1484.0,10.0,9.0,2073,TopN
2,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-like-raw,0.8591234269522386,4.469850540161133,0.0160300731658935,0.1515993919837388,9.0,yeast,1484.0,10.0,9.0,2073,TopN
2,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-trim-round,0.8569061453595914,4.639146327972412,0.0160279273986816,0.1514969611943584,10.0,yeast,1484.0,10.0,9.0,2073,TopN
2,TopN.SingleBest,0.8552619953612602,0.2319090366363525,0.0155267715454101,0.1645180388915083,,yeast,1484.0,10.0,9.0,2073,TopN
2,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:no,0.8561584918578236,4.384317398071289,0.0159826278686523,0.1516042579330017,21.0,yeast,1484.0,10.0,9.0,2073,TopN
2,TopN.LogisticRegressionStacking,0.8852490913811165,0.9120280742645264,0.017059326171875,,,yeast,1484.0,10.0,9.0,2073,TopN
2,TopN.CMA-ES|batch_size:dynamic|normalize_weights:no,0.8908490109754077,4.3721091747283936,0.0161569118499755,0.1052351439155236,21.0,yeast,1484.0,10.0,9.0,2073,TopN
3,TopN.EnsembleSelection|use_best,0.8499748913648986,2.880809783935547,0.0161135196685791,0.1496615878238791,9.0,yeast,1484.0,10.0,9.0,2073,TopN
3,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-like-raw,0.852421770251657,4.465548515319824,0.0160024166107177,0.1498327731920714,7.0,yeast,1484.0,10.0,9.0,2073,TopN
3,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-trim-round,0.8485416646883219,4.503105401992798,0.0159883499145507,0.1496053860950033,8.0,yeast,1484.0,10.0,9.0,2073,TopN
3,TopN.SingleBest,0.8372674758189225,0.2320499420166015,0.0155630111694335,0.1609609543103893,,yeast,1484.0,10.0,9.0,2073,TopN
3,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:no,0.8485300438585863,4.377113342285156,0.0159616470336914,0.1496283842101637,21.0,yeast,1484.0,10.0,9.0,2073,TopN
3,TopN.LogisticRegressionStacking,0.9042370819857196,0.9211127758026124,0.0172121524810791,,,yeast,1484.0,10.0,9.0,2073,TopN
3,TopN.CMA-ES|batch_size:dynamic|normalize_weights:no,0.9046969108527826,4.348602771759033,0.0162255764007568,0.1039789628897629,21.0,yeast,1484.0,10.0,9.0,2073,TopN
4,TopN.EnsembleSelection|use_best,0.9174391333165228,2.8711962699890137,0.0158870220184326,0.1528314860727244,8.0,yeast,1484.0,10.0,9.0,2073,TopN
4,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-like-raw,0.9171877668175256,4.451756715774536,0.0159227848052978,0.1528001940295468,8.0,yeast,1484.0,10.0,9.0,2073,TopN
4,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-trim-round,0.9180371348865396,4.642273664474487,0.0158243179321289,0.1528196999608179,8.0,yeast,1484.0,10.0,9.0,2073,TopN
4,TopN.SingleBest,0.927144411239846,0.2312462329864502,0.0153918266296386,0.1653928079993237,,yeast,1484.0,10.0,9.0,2073,TopN
4,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:no,0.9183875014369036,4.32218861579895,0.0158782005310058,0.1530734495896979,21.0,yeast,1484.0,10.0,9.0,2073,TopN
4,TopN.LogisticRegressionStacking,0.9182165722099476,0.9153568744659424,0.0170490741729736,,,yeast,1484.0,10.0,9.0,2073,TopN
4,TopN.CMA-ES|batch_size:dynamic|normalize_weights:no,0.9019612627853608,4.273437023162842,0.0159530639648437,0.1046160235941038,21.0,yeast,1484.0,10.0,9.0,2073,TopN
5,TopN.EnsembleSelection|use_best,0.8726885121258384,2.8278632164001465,0.0160040855407714,0.1513912448238075,8.0,yeast,1484.0,10.0,9.0,2073,TopN
5,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-like-raw,0.8718628361540436,4.367670774459839,0.0158541202545166,0.1515097002743102,6.0,yeast,1484.0,10.0,9.0,2073,TopN
5,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-trim-round,0.8715461224372718,4.61728310585022,0.0159239768981933,0.1520080574981159,7.0,yeast,1484.0,10.0,9.0,2073,TopN
5,TopN.SingleBest,0.8545127086765917,0.2312839031219482,0.0155179500579833,0.1585069878934796,,yeast,1484.0,10.0,9.0,2073,TopN
5,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:no,0.8739544314182193,4.368772506713867,0.0159945487976074,0.1517102603371645,21.0,yeast,1484.0,10.0,9.0,2073,TopN
5,TopN.LogisticRegressionStacking,0.8774495857622834,0.924680233001709,0.0169291496276855,,,yeast,1484.0,10.0,9.0,2073,TopN
5,TopN.CMA-ES|batch_size:dynamic|normalize_weights:no,0.8995872895621945,4.311103343963623,0.0161945819854736,0.1017216447898432,21.0,yeast,1484.0,10.0,9.0,2073,TopN
6,TopN.EnsembleSelection|use_best,0.8459852107142092,2.8753530979156494,0.0159122943878173,0.1403313266972967,10.0,yeast,1484.0,10.0,9.0,2073,TopN
6,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-like-raw,0.8454899162756523,4.46491003036499,0.0159449577331542,0.1402834892600994,9.0,yeast,1484.0,10.0,9.0,2073,TopN
6,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-trim-round,0.8415200396495249,4.61738657951355,0.0159900188446044,0.1405359676827169,8.0,yeast,1484.0,10.0,9.0,2073,TopN
6,TopN.SingleBest,0.8272233325902845,0.2301340103149414,0.0155005455017089,0.1534620922183194,,yeast,1484.0,10.0,9.0,2073,TopN
6,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:no,0.83730208882461,4.469168663024902,0.0159680843353271,0.1407178854260303,21.0,yeast,1484.0,10.0,9.0,2073,TopN
6,TopN.LogisticRegressionStacking,0.8131712136844583,0.9209582805633544,0.0171260833740234,,,yeast,1484.0,10.0,9.0,2073,TopN
6,TopN.CMA-ES|batch_size:dynamic|normalize_weights:no,0.8369339289604696,4.285294055938721,0.0161328315734863,0.0915332452399499,21.0,yeast,1484.0,10.0,9.0,2073,TopN
7,TopN.EnsembleSelection|use_best,0.9098843355618756,2.8667211532592773,0.0158390998840332,0.1544583079651984,7.0,yeast,1484.0,10.0,9.0,2073,TopN
7,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-like-raw,0.9103750939049664,4.42608904838562,0.015852928161621,0.1544784319074587,9.0,yeast,1484.0,10.0,9.0,2073,TopN
7,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-trim-round,0.9111844696080356,4.589679718017578,0.0157721042633056,0.1543609865349366,6.0,yeast,1484.0,10.0,9.0,2073,TopN
7,TopN.SingleBest,0.9000502975340745,0.2298769950866699,0.0153813362121582,0.1681825908366532,,yeast,1484.0,10.0,9.0,2073,TopN
7,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:no,0.9102904019647292,4.317625045776367,0.0158965587615966,0.1552297780009442,21.0,yeast,1484.0,10.0,9.0,2073,TopN
7,TopN.LogisticRegressionStacking,0.8941400802331175,0.9107003211975098,0.017101764678955,,,yeast,1484.0,10.0,9.0,2073,TopN
7,TopN.CMA-ES|batch_size:dynamic|normalize_weights:no,0.9026639883923496,4.316488027572632,0.0159213542938232,0.0990149869656884,21.0,yeast,1484.0,10.0,9.0,2073,TopN
8,TopN.EnsembleSelection|use_best,0.8443750083110168,2.862190723419189,0.015899658203125,0.1409683067148064,10.0,yeast,1484.0,10.0,9.0,2073,TopN
8,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-like-raw,0.8450608110950075,4.444602012634277,0.0158998966217041,0.1414667623553285,10.0,yeast,1484.0,10.0,9.0,2073,TopN
8,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-trim-round,0.8466798888304904,4.5610902309417725,0.0157980918884277,0.1413088046200075,12.0,yeast,1484.0,10.0,9.0,2073,TopN
8,TopN.SingleBest,0.8444950691323002,0.229687213897705,0.0154216289520263,0.1565361951680028,,yeast,1484.0,10.0,9.0,2073,TopN
8,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:no,0.8451108106894352,4.455123901367188,0.0159542560577392,0.141320958680615,21.0,yeast,1484.0,10.0,9.0,2073,TopN
8,TopN.LogisticRegressionStacking,0.8623163537198404,0.9059240818023682,0.0170507431030273,,,yeast,1484.0,10.0,9.0,2073,TopN
8,TopN.CMA-ES|batch_size:dynamic|normalize_weights:no,0.8139973292386923,4.426179885864258,0.0161988735198974,0.0913421675282597,21.0,yeast,1484.0,10.0,9.0,2073,TopN
9,TopN.EnsembleSelection|use_best,0.8797100011567224,2.878546953201294,0.0159611701965332,0.149231400022564,7.0,yeast,1484.0,10.0,9.0,2073,TopN
9,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-like-raw,0.8777583604764679,4.499103307723999,0.0158724784851074,0.1494017956529474,6.0,yeast,1484.0,10.0,9.0,2073,TopN
9,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-trim-round,0.8796282268325415,4.639838218688965,0.0158734321594238,0.1493644954040729,7.0,yeast,1484.0,10.0,9.0,2073,TopN
9,TopN.SingleBest,0.8860806132489125,0.2302570343017578,0.0155203342437744,0.1693868732040033,,yeast,1484.0,10.0,9.0,2073,TopN
9,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:no,0.8796680745716511,4.457427501678467,0.0158069133758544,0.1493353653910271,21.0,yeast,1484.0,10.0,9.0,2073,TopN
9,TopN.LogisticRegressionStacking,0.9044618286082458,0.9115321636199952,0.0170316696166992,,,yeast,1484.0,10.0,9.0,2073,TopN
9,TopN.CMA-ES|batch_size:dynamic|normalize_weights:no,0.9107935442177868,4.401432514190674,0.0160653591156005,0.1025768055881688,21.0,yeast,1484.0,10.0,9.0,2073,TopN
0,TopN.EnsembleSelection|use_best,0.890388315593415,21.08262062072754,0.905693292617798,0.1140801495277781,6.0,jannis,83733.0,4.0,55.0,211979,TopN
0,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-like-raw,0.8902891163212585,21.73215889930725,0.9151453971862792,0.1140888878466245,6.0,jannis,83733.0,4.0,55.0,211979,TopN
0,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-trim-round,0.8904194230916981,25.58112525939941,0.8993580341339111,0.1140800303969058,9.0,jannis,83733.0,4.0,55.0,211979,TopN
0,TopN.SingleBest,0.8895377170474599,8.272813081741333,0.8994958400726318,0.1159015837977408,,jannis,83733.0,4.0,55.0,211979,TopN
0,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:no,0.8903485043225526,21.99381375312805,0.9240970611572266,0.1140904753951258,15.0,jannis,83733.0,4.0,55.0,211979,TopN
0,TopN.LogisticRegressionStacking,0.8853525724356575,33.73390507698059,0.9157733917236328,,,jannis,83733.0,4.0,55.0,211979,TopN
0,TopN.CMA-ES|batch_size:dynamic|normalize_weights:no,0.8895377170474599,23.04327416419983,0.9183766841888428,0.1159015837977408,1.0,jannis,83733.0,4.0,55.0,211979,TopN
1,TopN.EnsembleSelection|use_best,0.8869385649255461,19.18282103538513,0.8971903324127197,0.1147126388884871,6.0,jannis,83733.0,4.0,55.0,211979,TopN
1,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-like-raw,0.8868673714336465,21.25918889045716,0.9096946716308594,0.1147482044483028,4.0,jannis,83733.0,4.0,55.0,211979,TopN
1,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:ges-trim-round,0.8869668319140288,25.48183846473694,0.9085819721221924,0.1147301163252373,6.0,jannis,83733.0,4.0,55.0,211979,TopN
1,TopN.SingleBest,0.8848342867366724,8.315430402755737,0.9049651622772216,0.1161817282027413,,jannis,83733.0,4.0,55.0,211979,TopN
1,TopN.CMA-ES|batch_size:dynamic|normalize_weights:softmax|trim_weights:no,0.8869541772374019,21.53653025627136,0.9145381450653076,0.1147128409256867,15.0,jannis,83733.0,4.0,55.0,211979,TopN
