TaskID,Setting,mean_distinct_algorithms_count,mean_fit_time_base_models,mean_predict_time_base_models,mean_base_models_count
2073,TopN,12.1,669.409443595012,8.05038144091765,21.3
3945,TopN,11.0,628.3825324795463,1.5145594705234875,11.0
7593,TopN,8.0,1099.58485076565,5.7334422197097386,12.9
10090,TopN,5.7,1731.1942421291392,18.33619720934617,8.7
146818,TopN,13.0,44.0192295056123,3.7451718183664178,13.0
146820,TopN,12.0,1100.1461637198925,0.2627516369024912,12.0
167120,TopN,12.0,999.3509631653628,3.512748006979624,12.0
168350,TopN,11.9,1209.9106729157045,0.3684436346545364,11.9
168757,TopN,13.0,1014.3467255665706,0.392344096990732,13.0
168784,TopN,12.0,683.4719146524156,1.3619325524284729,21.0
168868,TopN,12.0,1129.8574246386686,2.7260510901610058,12.0
168909,TopN,8.3,1141.985727354007,20.73587487535976,12.7
168910,TopN,11.0,725.9623015579912,5.586139441198773,19.8
168911,TopN,12.9,1052.7960984555575,0.3406951711728022,12.9
189354,TopN,8.9,1605.8825789216492,2.1004906985494824,8.9
189355,TopN,3.6,1197.3250416779515,427.3307482051849,4.2
189356,TopN,7.0,998.8605999776296,120.13838765621183,7.0
189922,TopN,12.0,1176.0667575399082,0.470832626024882,12.0
190137,TopN,13.0,1025.1252759474974,0.3557473182678222,13.0
190146,TopN,13.0,232.3354484667381,53.049032254020375,24.0
190392,TopN,12.3,946.2341187475585,3.5237500563645976,12.3
190410,TopN,12.0,1125.2920995434124,0.4754901985327402,12.0
190411,TopN,12.0,1113.461004594962,0.283228447039922,12.0
190412,TopN,13.0,497.0933448443046,65.83969824864315,13.0
211979,TopN,9.3,921.3112610293427,17.153908810814222,15.3
211986,TopN,10.9,792.766848695315,5.639298981508111,18.1
359953,TopN,13.0,747.6507671264502,1.9857148830707256,13.0
359954,TopN,13.0,220.824950500635,5.23949800821451,13.0
359955,TopN,13.0,32.199372405272264,3.176316116406367,13.0
359956,TopN,13.0,1029.0957889795304,0.3203095509455754,13.0
359957,TopN,11.0,718.2391279292107,2.499955109357834,20.0
359958,TopN,13.0,1028.3809730969942,0.3263397400195782,13.0
359959,TopN,12.0,666.8534348902248,0.96156374783743,21.6
359960,TopN,9.0,798.0492946585019,1.3516232622994315,18.0
359961,TopN,11.0,718.7707092201709,1.5092858719825744,20.0
359962,TopN,13.0,1026.264463210106,0.3169162603525015,13.0
359963,TopN,12.0,683.3365286770321,1.1242176396506174,21.0
359964,TopN,10.0,754.7167938458292,1.3861807609859265,19.0
359965,TopN,10.0,1400.3584351325037,0.3499219155311585,10.0
359966,TopN,12.0,1126.6713388621806,0.597213218609492,12.0
359967,TopN,12.0,1158.161810940504,0.8612725257873535,12.0
359968,TopN,12.0,1144.9042477647463,0.2842699746290842,12.0
359969,TopN,11.1,714.5774693933555,2.1330721980049496,20.1
359970,TopN,11.2,701.3636681475242,7.922936822573344,20.4
359971,TopN,10.0,1437.1103177332875,0.3983993339538574,10.0
359972,TopN,12.0,1138.610699393352,0.3568884988625844,12.0
359973,TopN,12.0,1163.113554920753,1.2350393454233806,12.0
359974,TopN,12.0,683.24271694365,2.3509541148231143,21.0
359975,TopN,12.0,1065.3817852179209,0.276530396938324,12.0
359976,TopN,8.2,1093.6308972453585,19.579204142692284,13.0
359977,TopN,9.0,877.7327620182368,12.133446172520896,16.3
359979,TopN,10.0,1422.219367620945,0.6420361113548279,10.0
359980,TopN,10.0,1421.562081604004,1.0427098631858829,10.0
359981,TopN,11.0,722.2145401118304,4.160371975710517,19.9
359982,TopN,12.0,1165.9582043290138,0.4649309953053792,12.0
359983,TopN,11.9,1205.0841707903328,0.7068187556483528,11.9
359984,TopN,5.0,1921.4476417371204,11.07388053366116,7.9
359985,TopN,8.6,1158.793535891085,8.212431230364423,12.5
359986,TopN,7.3,866.8280769639545,5.24545108212365,9.3
359987,TopN,11.0,756.6988845291681,1.551204812854354,19.0
359988,TopN,9.0,1574.259731909964,2.1739115662044948,9.0
359989,TopN,9.0,1566.897436120775,2.1364933252334595,9.0
359990,TopN,10.2,1342.4140638225729,7.208218320066279,10.2
359991,TopN,12.0,1142.5200769364833,0.7414370636145273,12.0
359992,TopN,12.4,1087.119809940839,4.067175796551582,12.4
359993,TopN,11.4,722.2630386176688,5.698257300571392,19.8
359994,TopN,7.2,1974.5126713058776,9.029233201486724,7.2
360112,TopN,6.9,1783.9742200156415,16.151164027242604,7.6
360113,TopN,2.2,5.417088270187378,775.2060433030128,2.2
360114,TopN,3.0,4676.847366046905,4.660440484682719,3.0
360975,TopN,9.0,1322.564433834288,16.56312640508016,9.0
